
> vite@0.0.0 dev
> vite dev --host 0.0.0.0 --port 3000
9:52:11 AM [vite] (client) page reload index.html
9:52:18 AM [vite] (client) page reload index.html
9:52:24 AM [vite] (client) page reload index.html
9:52:24 AM [vite] (client) page reload index.html
9:52:30 AM [vite] (client) page reload index.html
9:52:30 AM [vite] (client) page reload index.html
9:52:37 AM [vite] (client) page reload index.html
9:52:37 AM [vite] (client) page reload index.html
9:52:43 AM [vite] (client) page reload index.html
9:52:43 AM [vite] (client) page reload index.html
9:52:49 AM [vite] (client) page reload index.html
9:52:49 AM [vite] (client) page reload index.html
9:52:55 AM [vite] (client) page reload index.html
9:52:55 AM [vite] (client) page reload index.html
9:53:01 AM [vite] (client) page reload index.html
9:53:01 AM [vite] (client) page reload index.html
9:53:08 AM [vite] (client) page reload index.html
9:53:08 AM [vite] (client) page reload index.html
9:53:14 AM [vite] (client) page reload index.html
9:53:14 AM [vite] (client) page reload index.html
9:53:20 AM [vite] (client) page reload index.html
9:53:20 AM [vite] (client) page reload index.html
9:53:26 AM [vite] (client) page reload index.html
9:53:26 AM [vite] (client) page reload index.html
9:53:33 AM [vite] (client) page reload index.html
9:53:33 AM [vite] (client) page reload index.html
9:53:39 AM [vite] (client) page reload index.html
9:53:39 AM [vite] (client) page reload index.html
9:53:45 AM [vite] (client) page reload index.html
9:53:45 AM [vite] (client) page reload index.html
9:53:51 AM [vite] (client) page reload index.html
9:53:51 AM [vite] (client) page reload index.html
9:53:57 AM [vite] (client) page reload index.html
9:53:57 AM [vite] (client) page reload index.html
9:54:03 AM [vite] (client) page reload index.html
9:54:03 AM [vite] (client) page reload index.html
9:54:10 AM [vite] (client) page reload index.html
9:54:10 AM [vite] (client) page reload index.html
9:54:16 AM [vite] (client) page reload index.html
9:54:16 AM [vite] (client) page reload index.html
9:54:22 AM [vite] (client) page reload index.html
9:54:22 AM [vite] (client) page reload index.html
9:54:28 AM [vite] (client) page reload index.html
9:54:28 AM [vite] (client) page reload index.html
9:54:34 AM [vite] (client) page reload index.html
9:54:34 AM [vite] (client) page reload index.html
9:54:41 AM [vite] (client) page reload index.html
9:54:47 AM [vite] (client) page reload index.html
9:54:47 AM [vite] (client) page reload index.html
9:54:53 AM [vite] (client) page reload index.html
9:54:53 AM [vite] (client) page reload index.html
9:54:59 AM [vite] (client) page reload index.html
9:54:59 AM [vite] (client) page reload index.html
